,0,1,2,3,4,5,6,7,8,9,10
85,85.0,85.0,0.74,-0.862,9.857,-0.008,-0.017,-0.004,54.6,-44.22,-13.5
86,86.0,86.0,0.424,-0.903,9.572,0.008,0.007,-0.004,55.44,-44.52,-12.9
87,87.0,87.0,0.479,-0.864,9.891,-0.011,0.004,0.002,55.62,-43.92,-12.78
88,88.0,88.0,0.46,-0.905,9.699,0.003,0.011,0.0,55.14,-44.22,-12.36
89,89.0,89.0,0.441,-0.958,9.735,-0.0,-0.003,0.002,54.9,-45.78,-12.78
90,90.0,90.0,0.443,-0.943,9.706,0.002,-0.0,0.002,54.66,-45.78,-13.02
91,91.0,91.0,0.52,-0.881,9.759,0.001,-0.0,0.005,54.6,-45.0,-13.26
92,92.0,92.0,0.443,-0.907,9.807,-0.002,0.01,0.003,54.54,-44.82,-13.08
93,93.0,93.0,0.46,-0.96,9.73,-0.008,0.023,0.006,53.94,-45.0,-12.0
94,94.0,94.0,0.469,-0.905,9.745,-0.0,0.001,0.004,54.18,-45.42,-12.78
95,95.0,95.0,0.467,-0.919,9.747,-0.001,0.005,0.002,54.78,-45.48,-13.8
96,96.0,96.0,0.441,-0.876,9.759,-0.005,0.006,0.002,54.78,-45.18,-13.32
97,97.0,97.0,0.474,-0.898,9.716,-0.002,0.002,0.006,54.84,-44.88,-13.08
98,98.0,98.0,0.443,-0.948,9.793,-0.006,0.01,0.009,54.54,-45.18,-12.84
99,99.0,99.0,0.472,-0.953,9.749,-0.005,0.01,0.007,55.26,-45.36,-12.6
100,100.0,100.0,0.486,-0.895,9.776,0.0,-0.003,0.004,55.74,-45.42,-13.26
101,101.0,101.0,0.455,-0.924,9.745,-0.002,0.001,0.003,54.12,-45.06,-13.86
102,102.0,102.0,0.455,-0.924,9.793,-0.005,0.003,0.005,54.84,-44.76,-12.66
103,103.0,103.0,0.464,-0.898,9.74,-0.002,0.006,0.003,55.62,-45.0,-12.18
104,104.0,104.0,0.474,-0.941,9.508,0.0,-0.002,0.001,54.6,-44.46,-12.24
105,105.0,105.0,0.424,-0.927,9.984,0.0,0.007,0.003,54.78,-44.22,-12.36
106,106.0,106.0,0.457,-0.895,9.723,0.011,0.047,-0.001,54.6,-45.06,-13.02
107,107.0,107.0,0.426,-0.91,9.817,0.007,-0.003,-0.001,55.26,-44.94,-12.96
108,108.0,108.0,0.419,-0.895,9.757,-0.0,-0.0,-0.001,54.84,-45.54,-12.48
109,109.0,109.0,0.441,-0.879,9.706,-0.002,-0.019,-0.001,55.5,-44.94,-12.78
110,110.0,110.0,0.46,-0.905,9.742,-0.002,-0.017,0.0,55.56,-43.98,-13.56
111,111.0,111.0,0.297,-0.91,10.089,0.002,0.007,-0.005,53.88,-45.36,-12.9
112,112.0,112.0,0.177,-0.867,9.582,0.007,-0.022,-0.014,54.36,-45.54,-12.9
113,113.0,113.0,0.414,-0.898,9.991,0.04,-0.161,-0.021,55.2,-45.42,-13.08
114,114.0,114.0,0.498,-0.833,9.994,0.002,0.003,-0.034,55.38,-44.52,-12.96
115,115.0,115.0,0.57,-0.79,9.795,0.013,-0.094,-0.056,55.32,-44.22,-12.18
116,116.0,116.0,0.646,-0.816,10.303,0.042,-0.212,-0.019,54.84,-44.82,-12.48
117,117.0,117.0,0.436,-0.745,10.516,0.017,-0.259,0.018,54.54,-45.18,-12.0
118,118.0,118.0,0.682,-0.781,10.374,0.027,-0.513,0.034,54.06,-45.54,-12.06
119,119.0,119.0,0.673,-0.134,9.39,0.051,-0.815,0.049,53.88,-45.9,-13.56
120,120.0,120.0,1.508,-0.903,11.04,0.039,-0.877,0.093,54.42,-44.88,-13.08
121,121.0,121.0,1.405,-0.85,10.293,0.05,-1.069,0.189,54.72,-45.12,-12.24
122,122.0,122.0,1.566,-0.816,10.406,0.052,-1.548,0.229,53.88,-45.96,-13.02
123,123.0,123.0,1.815,-0.831,9.273,0.068,-1.827,0.274,53.82,-45.48,-12.24
124,124.0,124.0,2.205,-1.18,8.856,0.113,-2.064,0.293,53.52,-45.06,-11.58
125,125.0,125.0,2.459,-1.556,8.698,0.083,-1.931,0.25,52.8,-44.88,-11.46
126,126.0,126.0,3.079,-0.754,9.283,0.055,-1.696,0.142,52.86,-44.88,-11.22
