,0,1,2,3,4,5,6,7,8,9,10
83,83.0,83.0,13.758,-14.234,5.21,0.655,-0.507,1.559,-26.94,15.84,7.26
84,84.0,84.0,17.488,-19.803,-3.548,1.744,0.281,0.271,-26.04,16.74,6.12
85,85.0,85.0,27.592,-30.757,-5.684,4.821,0.344,-4.732,-27.48,15.36,2.52
86,86.0,86.0,20.981,-48.077,-22.427,9.497,2.772,-7.92,-31.92,6.48,-1.74
87,87.0,87.0,30.256,-69.942,-46.741,9.414,5.326,-11.943,-31.56,-10.92,-6.0
88,88.0,88.0,21.493,-78.343,-53.309,7.451,0.714,-18.311,-15.42,-29.7,-1.14
89,89.0,89.0,2.03,-62.488,-40.808,-0.932,0.554,-16.839,18.06,-26.4,6.54
90,90.0,90.0,-9.496,-28.559,-19.25,-3.741,0.287,-9.367,34.5,-0.66,5.1
91,91.0,91.0,-5.387,-14.284,-12.17,-3.185,0.55,-4.553,28.86,16.02,5.52
92,92.0,92.0,-6.62,-9.91,-9.031,-3.645,0.179,-2.708,21.72,22.74,9.78
93,93.0,93.0,-7.437,-7.142,-4.135,-2.402,0.107,-1.683,15.84,21.9,13.68
94,94.0,94.0,-8.346,-4.422,-3.977,-1.485,-0.474,-0.952,11.94,21.18,15.18
95,95.0,95.0,-8.646,-3.342,-4.666,-1.658,-0.069,-0.126,11.1,20.64,16.5
96,96.0,96.0,-7.92,-2.514,-3.352,-0.931,1.317,1.091,10.74,18.36,19.2
97,97.0,97.0,-7.01,-2.289,-2.248,-0.13,0.978,2.118,10.32,15.96,19.92
98,98.0,98.0,-4.877,-3.01,-3.603,0.565,1.241,3.111,12.0,13.38,21.12
99,99.0,99.0,-3.227,-3.024,-4.729,0.959,1.724,4.377,12.36,10.98,24.0
100,100.0,100.0,-3.366,-3.855,-8.069,1.327,1.088,6.409,12.96,6.48,26.76
101,101.0,101.0,-1.247,-9.144,-14.754,0.204,0.251,10.32,12.66,1.8,30.36
102,102.0,102.0,11.366,-22.528,-18.587,-2.421,-0.656,12.296,6.6,-7.38,34.14
103,103.0,103.0,14.856,-36.704,-19.281,-5.345,-0.674,13.252,-1.8,-14.28,34.68
